phase,count,mean_us,min_us,max_us
SearchMusic(),4,5.00,1,17
LoadMusic(),441,12.76,1,471
SetMusic(),689,87.59,9,662
SetArgSetter5(),532,960.75,138,2154
SetArgSetter8(),439,909.62,137,6392
